time,hs,tp,dp,u,v
2012-01-01T00:00:00Z,3.6,11.8,213.12,2.44,8.82
2012-01-01T03:00:00Z,3.41,11.57,215.23,1.17,6.18
2012-01-01T06:00:00Z,3.18,11.31,216.95,2.33,2.06
2012-01-01T09:00:00Z,2.99,11.24,216.36,2.71,3.3
2012-01-01T12:00:00Z,2.9,11.21,214.6,-0.76,8.66
2012-01-01T15:00:00Z,2.9,11.53,213.31,-3.29,8.49
2012-01-01T18:00:00Z,2.98,11.78,212.78,-6.67,11.21
2012-01-01T21:00:00Z,3.27,11.91,205.79,-8.62,8.15
2012-01-02T00:00:00Z,3.68,12.01,213.03,-11.94,12.16
2012-01-02T03:00:00Z,3.91,12,213.51,-10.21,10.15
2012-01-02T06:00:00Z,3.94,11.9,214.25,-11.23,11.65
2012-01-02T09:00:00Z,3.84,11.79,215.11,-10.97,8.54
2012-01-02T12:00:00Z,3.72,11.64,210.75,-12.32,13.35
2012-01-02T15:00:00Z,3.63,11.41,212.85,-11.42,10.34
2012-01-02T18:00:00Z,3.6,11.26,214.48,-13.58,7.04
2012-01-02T21:00:00Z,3.65,11.16,216.54,-14.1,5.08
2012-01-03T00:00:00Z,3.77,11.07,219.91,-12.39,5.88
2012-01-03T03:00:00Z,3.93,10.96,221.55,-11.89,5.43
2012-01-03T06:00:00Z,4.21,10.83,223.28,-10.22,4.64
2012-01-03T09:00:00Z,4.64,10.67,224.7,-11.26,7.48
2012-01-03T12:00:00Z,5.04,10.51,225.78,-11.99,9.32
2012-01-03T15:00:00Z,5.29,10.48,230.31,-10.98,9.21
2012-01-03T18:00:00Z,5.31,10.57,230.35,-10.83,6.23
2012-01-03T21:00:00Z,5.14,10.71,230.16,-11.52,5.76
2012-01-04T00:00:00Z,4.92,10.85,232.8,-10.35,4.89
2012-01-04T03:00:00Z,4.67,11.01,233.11,-11.81,3.51
2012-01-04T06:00:00Z,4.4,11.22,232.8,-9.28,2.58
2012-01-04T09:00:00Z,4.17,11.55,231.24,-9.12,4.39
2012-01-04T12:00:00Z,3.99,11.87,228.87,-7.48,8.65
2012-01-04T15:00:00Z,3.86,12.09,226.92,-10.4,7.5
2012-01-04T18:00:00Z,3.88,12.12,217.26,-9.44,6.67
2012-01-04T21:00:00Z,3.99,12.02,215.09,-11.65,4.85
2012-01-05T00:00:00Z,4.04,11.87,213.57,-10.87,2.94
2012-01-05T03:00:00Z,3.96,11.71,212.75,-11.39,2.49
2012-01-05T06:00:00Z,3.83,11.52,216.32,-10,1.09
2012-01-05T09:00:00Z,3.68,11.28,216.1,-7.5,1.81
2012-01-05T12:00:00Z,3.52,11.11,215.96,-6.72,5.72
2012-01-05T15:00:00Z,3.36,10.99,215.87,-8.69,6.02
2012-01-05T18:00:00Z,3.21,10.9,215.7,-8.37,5.52
2012-01-05T21:00:00Z,3.04,10.84,215.61,-9.32,1.97
2012-01-06T00:00:00Z,2.86,10.8,215.6,-8.54,3.29
2012-01-06T03:00:00Z,2.67,10.71,215.64,-7.54,1.05
2012-01-06T06:00:00Z,2.48,10.2,215.42,-3.8,-2.37
2012-01-06T09:00:00Z,2.31,9.99,215.07,3.85,-4.07
2012-01-06T12:00:00Z,2.21,9.95,214.83,2.77,-2.55
2012-01-06T15:00:00Z,2.21,9.94,218.35,4.51,1.37
2012-01-06T18:00:00Z,2.3,9.92,218.55,2.61,-1.21
2012-01-06T21:00:00Z,2.41,9.9,218.88,3.93,-0.92
2012-01-07T00:00:00Z,2.57,9.87,219.38,4.44,-3.32
2012-01-07T03:00:00Z,2.71,9.86,219.62,4.81,-2.76
2012-01-07T06:00:00Z,2.8,11.96,218.73,5.75,-1.12
2012-01-07T09:00:00Z,2.9,11.81,217.08,4.77,1.57
2012-01-07T12:00:00Z,3.04,11.34,220.89,2.66,4.71
2012-01-07T15:00:00Z,3.17,11.02,220.64,2.83,3.37
2012-01-07T18:00:00Z,3.22,11.01,220.9,1.59,4.57
2012-01-07T21:00:00Z,3.17,11.2,227.27,0.59,4.04
2012-01-08T00:00:00Z,3.16,11.9,224.1,0.74,4.36
2012-01-08T03:00:00Z,3.1,11.64,223.99,0.28,4.36
2012-01-08T06:00:00Z,2.95,11.02,223.05,0.46,3.1
2012-01-08T09:00:00Z,2.85,10.58,223.87,0.53,3.32
2012-01-08T12:00:00Z,2.8,10.32,223.52,0.12,7.96
2012-01-08T15:00:00Z,2.79,10.23,223.25,-1.63,6.24
2012-01-08T18:00:00Z,2.81,10.1,223.49,-3.01,9.9
2012-01-08T21:00:00Z,2.75,9.98,223.95,-6.07,6.42
2012-01-09T00:00:00Z,2.75,9.87,224.27,-6.12,10.1
2012-01-09T03:00:00Z,2.73,9.79,223.55,-6.55,7.22
2012-01-09T06:00:00Z,2.65,13.21,222.91,-4.54,9.01
2012-01-09T09:00:00Z,2.57,13,221.86,-3.42,7.79
2012-01-09T12:00:00Z,2.6,12.87,220.46,-1.07,10.36
2012-01-09T15:00:00Z,2.61,12.54,217.92,0.77,7.88
2012-01-09T18:00:00Z,2.56,11.98,212.13,0.18,6.25
2012-01-09T21:00:00Z,2.48,11.86,208.81,-0.04,5.11
2012-01-10T00:00:00Z,2.52,11.78,207.05,3.42,8.92
2012-01-10T03:00:00Z,2.59,8.24,206.95,2.6,8.12
2012-01-10T06:00:00Z,2.75,9.21,207.53,5.17,4.23
2012-01-10T09:00:00Z,3.04,10.02,201.07,7.3,3.54
2012-01-10T12:00:00Z,3.3,10.5,203.16,12.44,4.51
2012-01-10T15:00:00Z,3.43,10.67,205.59,11.33,4.8
2012-01-10T18:00:00Z,3.47,11.13,208.01,9.11,1.46
2012-01-10T21:00:00Z,3.46,11.48,209.65,8.98,0.15
2012-01-11T00:00:00Z,3.42,12.04,210.07,9.68,2.07
2012-01-11T03:00:00Z,3.35,12.16,206.21,7.31,4.06
2012-01-11T06:00:00Z,3.23,12.18,208,6.46,3.86
2012-01-11T09:00:00Z,3.09,12.13,206.86,6.72,-0.26
2012-01-11T12:00:00Z,2.94,12.04,204.02,8.71,-0.09
2012-01-11T15:00:00Z,2.8,11.96,205.85,7.8,0.48
2012-01-11T18:00:00Z,2.66,11.85,208.78,4.99,2.35
2012-01-11T21:00:00Z,2.54,11.63,212.86,4.73,0.98
2012-01-12T00:00:00Z,2.45,11.26,217.19,5.53,-1.43
2012-01-12T03:00:00Z,2.41,11.03,221.01,5.98,-1.38
2012-01-12T06:00:00Z,2.46,10.86,217.54,5.7,-2.04
2012-01-12T09:00:00Z,2.52,10.65,220.45,6.64,-3.37
2012-01-12T12:00:00Z,2.75,10.26,223.29,7.53,-4.96
2012-01-12T15:00:00Z,2.83,10.04,226.42,8.32,-1.77
2012-01-12T18:00:00Z,2.86,9.89,229.89,6.06,2.11
2012-01-12T21:00:00Z,2.99,9.7,233.78,2.86,4.03
2012-01-13T00:00:00Z,3.29,9.36,237.39,-0.29,4.42
2012-01-13T03:00:00Z,3.75,9.36,239.65,-1.46,3.54
2012-01-13T06:00:00Z,4.06,9.56,231.45,-2.08,4.68
2012-01-13T09:00:00Z,4.16,9.64,231.98,-0.91,3.79
2012-01-13T12:00:00Z,4.06,9.84,232.03,0.03,7.46
2012-01-13T15:00:00Z,3.89,10.88,210.64,-1,6.51
2012-01-13T18:00:00Z,3.73,11.18,215.62,-1.75,8.51
2012-01-13T21:00:00Z,3.61,11.25,221.3,-4.01,6.39
2012-01-14T00:00:00Z,3.49,11.72,225.83,-4.34,7.93
2012-01-14T03:00:00Z,3.4,11.83,232.21,-3.68,5.47
2012-01-14T06:00:00Z,3.32,11.84,231.58,-0.99,4.94
2012-01-14T09:00:00Z,3.25,11.86,222.64,0.63,4.54
2012-01-14T12:00:00Z,3.17,11.93,212.49,2.29,6.72
2012-01-14T15:00:00Z,3.13,12.25,212.05,0.51,5.41
