date;total_hf;total_casts;total_agg
24-Mar-18;13;52;17
31-Mar-18;1;1;0
07-Apr-18;0;1;0
14-Apr-18;12;42;18
21-Apr-18;NA;NA;NA
28-Apr-18;0;1;0
05-May-18;3;9;0
12-May-18;1;2;2
19-May-18;2;14;0
26-May-18;4;14;9
02-Jun-18;NA;NA;NA
09-Jun-18;0;1;0
16-Jun-18;NA;NA;NA
23-Jun-18;NA;NA;NA
30-Jun-18;0;1;0
07-Jul-18;0;2;0
14-Jul-18;NA;NA;NA
21-Jul-18;1;3;3
28-Jul-18;NA;NA;NA
04-Aug-18;2;22;20
11-Aug-18;0;4;0
18-Aug-18;0;1;0
25-Aug-18;NA;NA;NA
01-Sep-18;NA;NA;NA
08-Sep-18;NA;NA;NA
15-Sep-18;NA;NA;NA
22-Sep-18;1;7;6
29-Sep-18;0;2;0
