date;number;holdfast;holdfast_diameter;stipe_length;frond_length
24-Mar-18;1;yes;13;80;64
24-Mar-18;2;no;NA;530;171
24-Mar-18;3;no;NA;177;119
24-Mar-18;4;no;NA;397;193
24-Mar-18;5;no;NA;240;180
24-Mar-18;6;no;NA;206;109
24-Mar-18;7;no;NA;85;73
24-Mar-18;8;yes;10;52;33
24-Mar-18;9;no;NA;179;139
24-Mar-18;10;yes;8;51;64
24-Mar-18;11;no;NA;140;73
24-Mar-18;12;no;NA;470;121
24-Mar-18;13;no;NA;315;196
24-Mar-18;14;no;NA;168;103
24-Mar-18;15;no;NA;89;50
24-Mar-18;16.1;yes;17;92;102
24-Mar-18;16.2;yes;17;<10;NA
24-Mar-18;16.3;yes;17;<10;NA
24-Mar-18;16.4;yes;17;<10;NA
24-Mar-18;16.5;yes;17;<10;NA
24-Mar-18;16.6;yes;17;<10;NA
24-Mar-18;16.7;yes;17;<10;NA
24-Mar-18;16.8;yes;17;<10;NA
24-Mar-18;16.9;yes;17;<10;NA
24-Mar-18;17;no;NA;275;93
24-Mar-18;18;no;NA;450;40
24-Mar-18;19.1;yes;19;317;138
24-Mar-18;19.2;yes;19;<10;NA
24-Mar-18;20;no;NA;525;111
24-Mar-18;21;yes;17;526;129
24-Mar-18;22;no;NA;76;125
24-Mar-18;23;no;NA;406;149
24-Mar-18;24;no;NA;158;80
24-Mar-18;25;yes;19;474;181
24-Mar-18;26;no;NA;376;82
24-Mar-18;27;no;NA;630;165
24-Mar-18;28;yes;12;562;29
24-Mar-18;29;no;NA;268;138
24-Mar-18;30;no;NA;208;146
24-Mar-18;31;no;NA;356;131
24-Mar-18;32;no;NA;310;149
24-Mar-18;33;yes;12;392;142
24-Mar-18;34.1;yes;20;165;44
24-Mar-18;34.2;yes;20;<10;NA
24-Mar-18;35;yes;24;230;188
24-Mar-18;36.1;yes;26;556;170
24-Mar-18;36.2;yes;26;31;112
24-Mar-18;36.3;yes;26;222;89
24-Mar-18;36.4;yes;26;30;59
24-Mar-18;37;no;NA;357;121
24-Mar-18;38;yes;9;400;140
24-Mar-18;39;no;NA;175;178
31-Mar-18;1;yes;18.5;122;93
07-Apr-18;1;no;NA;182;100
14-Apr-18;1;no;NA;95;110
14-Apr-18;2;yes;14;171;104
14-Apr-18;3;no;NA;247;140
14-Apr-18;4;no;NA;186;83
14-Apr-18;5;yes;15;77;115
14-Apr-18;6;no;NA;49;67
14-Apr-18;7;no;NA;53;47
14-Apr-18;8;no;NA;20;47
14-Apr-18;9;no;NA;49;77
14-Apr-18;10;no;NA;97;97
