date;transect;number;holdfast;holdfast_diameter;stipe_length;frond_length;notes
27/8/2018;A;1;No;NA;78;68;
27/8/2018;A;2;Yes;27;117;128;
27/8/2018;A;3;No;NA;135;118;
27/8/2018;A;4;No;NA;110;154;
27/8/2018;A;5;No;NA;134;87;
27/8/2018;A;6,1;Yes;31;29;42;
27/8/2018;A;6,2;Yes;31;72;40;
27/8/2018;B;7;No;NA;247;124;
27/8/2018;B;8;No;NA;101;87;
27/8/2018;B;9,1;Yes;55;72;73;
27/8/2018;B;9,2;Yes;55;52;77;
27/8/2018;B;9,3;Yes;55;127;82;
27/8/2018;B;9,4;Yes;55;53;96;
27/8/2018;B;9,5;Yes;55;23;53;
27/8/2018;B;9,6;Yes;55;37;76;
27/8/2018;B;10,1;Yes;30;16;46;
27/8/2018;B;10,2;Yes;30;114;60;
27/8/2018;B;10,3;Yes;30;67;35;
27/8/2018;B;10,4;Yes;30;145;NA;broken stipe
27/8/2018;B;10,5;Yes;30;21;NA;broken stipe
